name,website,frame_maker,open_year,close_year,logo_url 
Cortina Cycles, http://www.cortinacycles.com/, true, , , 
Craft, , , , , 
Crank Brothers, , , , , 
Crazy Creek, , , , , 
Crescent Moon, , , , , 
Critical Cycles, http://www.criticalcycles.com/, true, , , 
CRUD, , , , , 
CST, , , , , 
Cube, http://www.cube.eu/en/cube-bikes/, true, , , 
CueClip, , , , , 
Cult, http://www.cultcrew.com, true, , , 
Currys, http://www.currys.co.uk/gbuk/index.html, true, , , 
CX Tape, , , , , 
CycleAware, , , , , 
Cycle Dog, , , , , 
Cycle Force Group, http://www.cyclefg.com/, true, , , 
CycleOps, , , , , 
CyclePro, , true, , , 
Cycles Devinci, http://www.devinci.com/home.html, true, , , 
Cycles Follis, , true, , , 
Cycle Stuff, , , , , 
Cycleurope, http://www.cycleurope.com, true, , , 
Cyclo, , , , , 
Cycloc, , , , , 
Cyfac, http://www.cyfac.fr/index.aspx, true, , , 
CygoLite, , , , , 
Cytosport, , , , , 
Da Bomb Bikes, http://www.dabombbike.com/, true, , , 
Dahon, http://www.dahon.com/, true, , , 
DAJO, , , , , 
Dawes Cycles, http://www.dawescycles.com/, true, , , 
Deco, , , , , 
Deda Elementi, , , , , 
DeFeet, , , , , 
Deity, http://www.deitycomponents.com/, true, , , 
Delta, , , , , 
Deluxe, , , , , 
Demolition, , , , , 
Den Beste Sykkel, http://www.dbs.no/, true, , , 
Derby Cycle, http://www.derby-cycle.com/en.html, true, , , 
Dermatone, , , , , 
Dero, , , , , 
De Rosa, http://www.derosanews.com/, true, , , 
Deuter, , , , , 
Dia-Compe, , , , , 
Diamant, http://www.diamantrad.com/home/, true, , , 
Diamondback, http://www.diamondback.com/, true, , , 
DiaTech, , , , , 
Di Blasi Industriale, http://www.diblasi.it/?lng=en, true, , , 
Dicta, , , , , 
DIG BMX, , , , , 
Dimension, , , , , 
Discwing, , , , , 
DMR, , , , , 
DNP, , , , , 
Doberman, https://www.facebook.com/DobermannBikes, true, , , 
Dodici Milano, http://www.dodicicicli.com/, true, , , 
Dorel Industries, http://www.dorel.com/, true, , , 
DT Swiss, , , , , 
Dualco, , , , , 
Dual Eyewear, , , , , 
Dunelt Motorcycles, none, true, , , 
Dynacraft BSC, http://www.dynacraftbike.com/, true, , , 
Dyno, , true, , , 
Dyno , , true, , , 
DZ Nuts, , , , , 
Eagle Bicycle Manufacturing Company, none, true, , , 
Eagles Nest Outfitters, , , , , 
Eastern, http://easternbikes.com/, true, , , 
East Germany, http://www.easternbikes.com/dealers/, true, , , 
EBC, , , , , 
Ebisu, http://www.jitensha.com/eng/aboutframes_e.html, true, , , 
E-Case, , , , , 
E. C. Stearns Bicycle Agency, , true, , , 
Eddy Merckx, http://www.eddymerckx.be/, true, , , 
eGear, , , , , 
EK USA, , , , , 
Electra Bicycle Company, http://www.electrabike.com/, true, , , 
elete, , , , , 
Elevn Technologies, , , , , 
Elite SRL, , , , , 
Ellis Briggs, http://www.ellisbriggscycles.co.uk/, true, , , 
Ellsworth Handcrafted Bicycles, www.­ellsworthride.­com, true, , , 
Emilio Bozzi, none, true, , , 
Endurance Films, , , , , 
Enduro, , , , , 
Endurox, , , , , 
Energizer, , , , , 
Enigma Titanium, http://www.enigmabikes.com/, true, , , 
ENVE Composites, , , , , 
